suicides_no,year,country,sex,age
19,2007,Ireland,F,25-34 years
15,2007,Ireland,F,15-24 years
13,2007,Ireland,F,55-74 years
7,2007,Ireland,M,5-14 years
3,2007,Ireland,F,75+ years
1,2007,Ireland,F,5-14 years
100,2008,Ireland,M,25-34 years
142,2008,Ireland,M,35-54 years
69,2008,Ireland,M,15-24 years
66,2008,Ireland,M,55-74 years
25,2008,Ireland,F,15-24 years
46,2008,Ireland,F,35-54 years
27,2008,Ireland,F,55-74 years
6,2008,Ireland,M,75+ years
18,2008,Ireland,F,25-34 years
4,2008,Ireland,F,75+ years
3,2008,Ireland,M,5-14 years
112,2009,Ireland,M,25-34 years
158,2009,Ireland,M,35-54 years
70,2009,Ireland,M,15-24 years
74,2009,Ireland,M,55-74 years
27,2009,Ireland,F,25-34 years
20,2009,Ireland,F,15-24 years
23,2009,Ireland,F,55-74 years
5,2009,Ireland,M,75+ years
33,2009,Ireland,F,35-54 years
3,2009,Ireland,M,5-14 years
1,2009,Ireland,F,75+ years
1,2009,Ireland,F,5-14 years
166,2010,Ireland,M,35-54 years
67,2010,Ireland,M,15-24 years
75,2010,Ireland,M,25-34 years
66,2010,Ireland,M,55-74 years
9,2010,Ireland,M,75+ years
25,2010,Ireland,F,55-74 years
38,2010,Ireland,F,35-54 years
19,2010,Ireland,F,25-34 years
11,2010,Ireland,F,15-24 years
4,2010,Ireland,F,75+ years
3,2010,Ireland,F,5-14 years
3,2010,Ireland,M,5-14 years
191,2011,Ireland,M,35-54 years
100,2011,Ireland,M,25-34 years
78,2011,Ireland,M,15-24 years
78,2011,Ireland,M,55-74 years
11,2011,Ireland,M,75+ years
27,2011,Ireland,F,25-34 years
38,2011,Ireland,F,35-54 years
16,2011,Ireland,F,15-24 years
15,2011,Ireland,F,55-74 years
192,2012,Ireland,M,35-54 years
89,2012,Ireland,M,25-34 years
89,2012,Ireland,M,55-74 years
59,2012,Ireland,M,15-24 years
14,2012,Ireland,M,75+ years
42,2012,Ireland,F,35-54 years
16,2012,Ireland,F,15-24 years
20,2012,Ireland,F,25-34 years
15,2012,Ireland,F,55-74 years
2,2012,Ireland,F,75+ years
3,2012,Ireland,M,5-14 years
1,2012,Ireland,F,5-14 years
169,2013,Ireland,M,35-54 years
102,2013,Ireland,M,55-74 years
68,2013,Ireland,M,25-34 years
44,2013,Ireland,M,15-24 years
24,2013,Ireland,F,25-34 years
42,2013,Ireland,F,35-54 years
6,2013,Ireland,M,75+ years
18,2013,Ireland,F,55-74 years
9,2013,Ireland,F,15-24 years
3,2013,Ireland,F,75+ years
2,2013,Ireland,M,5-14 years
165,2014,Ireland,M,35-54 years
80,2014,Ireland,M,25-34 years
63,2014,Ireland,M,15-24 years
81,2014,Ireland,M,55-74 years
8,2014,Ireland,M,75+ years
39,2014,Ireland,F,35-54 years
20,2014,Ireland,F,25-34 years
11,2014,Ireland,F,15-24 years
15,2014,Ireland,F,55-74 years
2,2014,Ireland,F,75+ years
2,2014,Ireland,M,5-14 years
24,1985,Israel,M,75+ years
48,1985,Israel,M,55-74 years
10,1985,Israel,F,75+ years
41,1985,Israel,M,35-54 years
28,1985,Israel,F,55-74 years
27,1985,Israel,M,25-34 years
19,1985,Israel,M,15-24 years
19,1985,Israel,F,35-54 years
11,1985,Israel,F,25-34 years
7,1985,Israel,F,15-24 years
28,1986,Israel,M,75+ years
56,1986,Israel,M,55-74 years
14,1986,Israel,F,75+ years
47,1986,Israel,M,35-54 years
32,1986,Israel,F,55-74 years
25,1986,Israel,M,25-34 years
25,1986,Israel,M,15-24 years
22,1986,Israel,F,35-54 years
16,1986,Israel,F,15-24 years
12,1986,Israel,F,25-34 years
1,1986,Israel,M,5-14 years
32,1987,Israel,M,75+ years
57,1987,Israel,M,55-74 years
18,1987,Israel,F,75+ years
45,1987,Israel,M,35-54 years
33,1987,Israel,M,25-34 years
24,1987,Israel,F,55-74 years
26,1987,Israel,M,15-24 years
13,1987,Israel,F,25-34 years
16,1987,Israel,F,35-54 years
7,1987,Israel,F,15-24 years
23,1988,Israel,M,75+ years
51,1988,Israel,M,55-74 years
14,1988,Israel,F,75+ years
62,1988,Israel,M,35-54 years
41,1988,Israel,M,25-34 years
30,1988,Israel,F,55-74 years
36,1988,Israel,M,15-24 years
29,1988,Israel,F,35-54 years
8,1988,Israel,F,25-34 years
8,1988,Israel,F,15-24 years
1,1988,Israel,M,5-14 years
45,1989,Israel,M,75+ years
71,1989,Israel,M,55-74 years
25,1989,Israel,F,75+ years
62,1989,Israel,M,35-54 years
43,1989,Israel,M,25-34 years
33,1989,Israel,F,55-74 years
25,1989,Israel,M,15-24 years
17,1989,Israel,F,25-34 years
14,1989,Israel,F,15-24 years
15,1989,Israel,F,35-54 years
2,1989,Israel,M,5-14 years
1,1989,Israel,F,5-14 years
29,1990,Israel,M,75+ years
52,1990,Israel,M,55-74 years
48,1990,Israel,M,25-34 years
61,1990,Israel,M,35-54 years
12,1990,Israel,F,75+ years
23,1990,Israel,F,55-74 years
28,1990,Israel,M,15-24 years
22,1990,Israel,F,35-54 years
14,1990,Israel,F,25-34 years
13,1990,Israel,F,15-24 years
2,1990,Israel,M,5-14 years
35,1991,Israel,M,75+ years
60,1991,Israel,M,55-74 years
20,1991,Israel,F,75+ years
74,1991,Israel,M,35-54 years
41,1991,Israel,M,25-34 years
49,1991,Israel,M,15-24 years
32,1991,Israel,F,55-74 years
27,1991,Israel,F,35-54 years
9,1991,Israel,F,25-34 years
9,1991,Israel,F,15-24 years
3,1991,Israel,M,5-14 years
27,1992,Israel,M,75+ years
77,1992,Israel,M,55-74 years
74,1992,Israel,M,35-54 years
14,1992,Israel,F,75+ years
54,1992,Israel,M,15-24 years
42,1992,Israel,M,25-34 years
36,1992,Israel,F,55-74 years
17,1992,Israel,F,25-34 years
24,1992,Israel,F,35-54 years
11,1992,Israel,F,15-24 years
4,1992,Israel,M,5-14 years
1,1992,Israel,F,5-14 years
38,1993,Israel,M,75+ years
64,1993,Israel,M,55-74 years
18,1993,Israel,F,75+ years
47,1993,Israel,M,25-34 years
69,1993,Israel,M,35-54 years
54,1993,Israel,M,15-24 years
31,1993,Israel,F,55-74 years
29,1993,Israel,F,35-54 years
13,1993,Israel,F,25-34 years
7,1993,Israel,F,15-24 years
1,1993,Israel,F,5-14 years
39,1994,Israel,M,75+ years
29,1994,Israel,F,75+ years
56,1994,Israel,M,55-74 years
97,1994,Israel,M,35-54 years
52,1994,Israel,M,25-34 years
57,1994,Israel,M,15-24 years
32,1994,Israel,F,55-74 years
16,1994,Israel,F,25-34 years
25,1994,Israel,F,35-54 years
8,1994,Israel,F,15-24 years
3,1994,Israel,M,5-14 years
2,1994,Israel,F,5-14 years
33,1995,Israel,M,75+ years
27,1995,Israel,F,75+ years
63,1995,Israel,M,55-74 years
72,1995,Israel,M,35-54 years
49,1995,Israel,M,15-24 years
38,1995,Israel,M,25-34 years
28,1995,Israel,F,55-74 years
20,1995,Israel,F,15-24 years
22,1995,Israel,F,35-54 years
4,1995,Israel,F,25-34 years
3,1995,Israel,M,5-14 years
1,1995,Israel,F,5-14 years
39,1996,Israel,M,75+ years
50,1996,Israel,M,55-74 years
20,1996,Israel,F,75+ years
38,1996,Israel,M,25-34 years
57,1996,Israel,M,35-54 years
44,1996,Israel,M,15-24 years
16,1996,Israel,F,55-74 years
21,1996,Israel,F,35-54 years
9,1996,Israel,F,25-34 years
9,1996,Israel,F,15-24 years
3,1996,Israel,M,5-14 years
44,1997,Israel,M,75+ years
55,1997,Israel,M,55-74 years
21,1997,Israel,F,75+ years
83,1997,Israel,M,35-54 years
66,1997,Israel,M,15-24 years
51,1997,Israel,M,25-34 years
20,1997,Israel,F,55-74 years
13,1997,Israel,F,25-34 years
16,1997,Israel,F,35-54 years
8,1997,Israel,F,15-24 years
2,1997,Israel,M,5-14 years
33,1998,Israel,M,75+ years
55,1998,Israel,M,55-74 years
15,1998,Israel,F,75+ years
42,1998,Israel,M,25-34 years
52,1998,Israel,M,15-24 years
55,1998,Israel,M,35-54 years
21,1998,Israel,F,55-74 years
19,1998,Israel,F,35-54 years
13,1998,Israel,F,15-24 years
10,1998,Israel,F,25-34 years
2,1998,Israel,M,5-14 years
1,1998,Israel,F,5-14 years
31,1999,Israel,M,75+ years
105,1999,Israel,M,35-54 years
43,1999,Israel,M,55-74 years
62,1999,Israel,M,15-24 years
50,1999,Israel,M,25-34 years
16,1999,Israel,F,75+ years
21,1999,Israel,F,55-74 years
12,1999,Israel,F,25-34 years
15,1999,Israel,F,35-54 years
7,1999,Israel,F,15-24 years
6,1999,Israel,M,5-14 years
39,2000,Israel,M,75+ years
66,2000,Israel,M,25-34 years
100,2000,Israel,M,35-54 years
65,2000,Israel,M,15-24 years
36,2000,Israel,M,55-74 years
13,2000,Israel,F,75+ years
25,2000,Israel,F,55-74 years
15,2000,Israel,F,25-34 years
24,2000,Israel,F,35-54 years
10,2000,Israel,F,15-24 years
1,2000,Israel,M,5-14 years
38,2001,Israel,M,75+ years
56,2001,Israel,M,55-74 years
76,2001,Israel,M,15-24 years
94,2001,Israel,M,35-54 years
58,2001,Israel,M,25-34 years
17,2001,Israel,F,75+ years
14,2001,Israel,F,55-74 years
24,2001,Israel,F,35-54 years
9,2001,Israel,F,25-34 years
9,2001,Israel,F,15-24 years
2,2001,Israel,F,5-14 years
1,2001,Israel,M,5-14 years
28,2002,Israel,M,75+ years
99,2002,Israel,M,35-54 years
45,2002,Israel,M,55-74 years
59,2002,Israel,M,25-34 years
60,2002,Israel,M,15-24 years
14,2002,Israel,F,75+ years
20,2002,Israel,F,55-74 years
31,2002,Israel,F,35-54 years
14,2002,Israel,F,15-24 years
10,2002,Israel,F,25-34 years
2,2002,Israel,F,5-14 years
28,2003,Israel,M,75+ years
70,2003,Israel,M,55-74 years
125,2003,Israel,M,35-54 years
57,2003,Israel,M,25-34 years
62,2003,Israel,M,15-24 years
10,2003,Israel,F,75+ years
24,2003,Israel,F,55-74 years
25,2003,Israel,F,35-54 years
8,2003,Israel,F,25-34 years
5,2003,Israel,F,15-24 years
3,2003,Israel,M,5-14 years
30,2004,Israel,M,75+ years
65,2004,Israel,M,55-74 years
66,2004,Israel,M,25-34 years
90,2004,Israel,M,35-54 years
68,2004,Israel,M,15-24 years
16,2004,Israel,F,75+ years
18,2004,Israel,F,55-74 years
30,2004,Israel,F,35-54 years
14,2004,Israel,F,25-34 years
11,2004,Israel,F,15-24 years
2,2004,Israel,F,5-14 years
1,2004,Israel,M,5-14 years
35,2005,Israel,M,75+ years
52,2005,Israel,M,55-74 years
93,2005,Israel,M,35-54 years
23,2005,Israel,F,75+ years
66,2005,Israel,M,15-24 years
56,2005,Israel,M,25-34 years
26,2005,Israel,F,55-74 years
42,2005,Israel,F,35-54 years
16,2005,Israel,F,25-34 years
13,2005,Israel,F,15-24 years
2,2005,Israel,M,5-14 years
1,2005,Israel,F,5-14 years
22,2006,Israel,M,75+ years
61,2006,Israel,M,55-74 years
84,2006,Israel,M,35-54 years
61,2006,Israel,M,15-24 years
51,2006,Israel,M,25-34 years
13,2006,Israel,F,75+ years
31,2006,Israel,F,35-54 years
18,2006,Israel,F,15-24 years
15,2006,Israel,F,55-74 years
10,2006,Israel,F,25-34 years
1,2006,Israel,F,5-14 years
29,2007,Israel,M,75+ years
50,2007,Israel,M,55-74 years
85,2007,Israel,M,35-54 years
51,2007,Israel,M,25-34 years
45,2007,Israel,M,15-24 years
7,2007,Israel,F,75+ years
23,2007,Israel,F,35-54 years
13,2007,Israel,F,55-74 years
10,2007,Israel,F,25-34 years
10,2007,Israel,F,15-24 years
3,2007,Israel,M,5-14 years
43,2008,Israel,M,75+ years
62,2008,Israel,M,55-74 years
65,2008,Israel,M,15-24 years
80,2008,Israel,M,35-54 years
42,2008,Israel,M,25-34 years
11,2008,Israel,F,75+ years
15,2008,Israel,F,55-74 years
11,2008,Israel,F,25-34 years
14,2008,Israel,F,35-54 years
7,2008,Israel,F,15-24 years
2,2008,Israel,F,5-14 years
2,2008,Israel,M,5-14 years
23,2009,Israel,M,75+ years
77,2009,Israel,M,55-74 years
67,2009,Israel,M,25-34 years
91,2009,Israel,M,35-54 years
48,2009,Israel,M,15-24 years
22,2009,Israel,F,55-74 years
8,2009,Israel,F,75+ years
32,2009,Israel,F,35-54 years
18,2009,Israel,F,25-34 years
13,2009,Israel,F,15-24 years
4,2009,Israel,M,5-14 years
1,2009,Israel,F,5-14 years
40,2010,Israel,M,75+ years
93,2010,Israel,M,55-74 years
119,2010,Israel,M,35-54 years
77,2010,Israel,M,25-34 years
63,2010,Israel,M,15-24 years
9,2010,Israel,F,75+ years
22,2010,Israel,F,55-74 years
33,2010,Israel,F,35-54 years
10,2010,Israel,F,15-24 years
9,2010,Israel,F,25-34 years
3,2010,Israel,F,5-14 years
2,2010,Israel,M,5-14 years
44,2011,Israel,M,75+ years
80,2011,Israel,M,55-74 years
111,2011,Israel,M,35-54 years
45,2011,Israel,M,25-34 years
41,2011,Israel,M,15-24 years
30,2011,Israel,F,55-74 years
7,2011,Israel,F,75+ years
16,2011,Israel,F,25-34 years
22,2011,Israel,F,35-54 years
12,2011,Israel,F,15-24 years
1,2011,Israel,M,5-14 years
33,2012,Israel,M,75+ years
93,2012,Israel,M,55-74 years
131,2012,Israel,M,35-54 years
57,2012,Israel,M,25-34 years
32,2012,Israel,M,15-24 years
9,2012,Israel,F,75+ years
24,2012,Israel,F,55-74 years
17,2012,Israel,F,25-34 years
13,2012,Israel,F,15-24 years
18,2012,Israel,F,35-54 years
3,2012,Israel,M,5-14 years
34,2013,Israel,M,75+ years
71,2013,Israel,M,55-74 years
102,2013,Israel,M,35-54 years
47,2013,Israel,M,25-34 years
12,2013,Israel,F,75+ years
30,2013,Israel,M,15-24 years
23,2013,Israel,F,55-74 years
26,2013,Israel,F,35-54 years
15,2013,Israel,F,25-34 years
7,2013,Israel,M,5-14 years
5,2013,Israel,F,15-24 years
32,2014,Israel,M,75+ years
125,2014,Israel,M,35-54 years
54,2014,Israel,M,55-74 years
41,2014,Israel,M,25-34 years
35,2014,Israel,M,15-24 years
11,2014,Israel,F,75+ years
24,2014,Israel,F,55-74 years
29,2014,Israel,F,35-54 years
13,2014,Israel,F,25-34 years
10,2014,Israel,F,15-24 years
7,2014,Israel,M,5-14 years
1,2014,Israel,F,5-14 years
30,2015,Israel,M,75+ years
65,2015,Israel,M,55-74 years
92,2015,Israel,M,35-54 years
45,2015,Israel,M,25-34 years
14,2015,Israel,F,75+ years
35,2015,Israel,M,15-24 years
17,2015,Israel,F,55-74 years
13,2015,Israel,F,25-34 years
20,2015,Israel,F,35-54 years
8,2015,Israel,F,15-24 years
2,2015,Israel,M,5-14 years
1,2015,Israel,F,5-14 years
542,1985,Italy,M,75+ years
1307,1985,Italy,M,55-74 years
902,1985,Italy,M,35-54 years
239,1985,Italy,F,75+ years
596,1985,Italy,F,55-74 years
361,1985,Italy,M,25-34 years
249,1985,Italy,M,15-24 years
382,1985,Italy,F,35-54 years
106,1985,Italy,F,25-34 years
60,1985,Italy,F,15-24 years
10,1985,Italy,M,5-14 years
5,1985,Italy,F,5-14 years
568,1986,Italy,M,75+ years
1164,1986,Italy,M,55-74 years
929,1986,Italy,M,35-54 years
247,1986,Italy,F,75+ years
582,1986,Italy,F,55-74 years
380,1986,Italy,M,25-34 years
397,1986,Italy,F,35-54 years
237,1986,Italy,M,15-24 years
97,1986,Italy,F,25-34 years
72,1986,Italy,F,15-24 years
15,1986,Italy,M,5-14 years
3,1986,Italy,F,5-14 years
563,1987,Italy,M,75+ years
1146,1987,Italy,M,55-74 years
873,1987,Italy,M,35-54 years
248,1987,Italy,F,75+ years
425,1987,Italy,M,25-34 years
496,1987,Italy,F,55-74 years
245,1987,Italy,M,15-24 years
343,1987,Italy,F,35-54 years
99,1987,Italy,F,25-34 years
63,1987,Italy,F,15-24 years
11,1987,Italy,M,5-14 years
4,1987,Italy,F,5-14 years
591,1988,Italy,M,75+ years
1073,1988,Italy,M,55-74 years
244,1988,Italy,F,75+ years
799,1988,Italy,M,35-54 years
385,1988,Italy,M,25-34 years
512,1988,Italy,F,55-74 years
237,1988,Italy,M,15-24 years
346,1988,Italy,F,35-54 years
115,1988,Italy,F,25-34 years
65,1988,Italy,F,15-24 years
10,1988,Italy,M,5-14 years
4,1988,Italy,F,5-14 years
564,1989,Italy,M,75+ years
1048,1989,Italy,M,55-74 years
826,1989,Italy,M,35-54 years
433,1989,Italy,M,25-34 years
217,1989,Italy,F,75+ years
462,1989,Italy,F,55-74 years
243,1989,Italy,M,15-24 years
321,1989,Italy,F,35-54 years
138,1989,Italy,F,25-34 years
73,1989,Italy,F,15-24 years
10,1989,Italy,M,5-14 years
7,1989,Italy,F,5-14 years
670,1990,Italy,M,75+ years
980,1990,Italy,M,55-74 years
802,1990,Italy,M,35-54 years
443,1990,Italy,M,25-34 years
224,1990,Italy,F,75+ years
452,1990,Italy,F,55-74 years
275,1990,Italy,M,15-24 years
317,1990,Italy,F,35-54 years
132,1990,Italy,F,25-34 years
90,1990,Italy,F,15-24 years
11,1990,Italy,M,5-14 years
6,1990,Italy,F,5-14 years
572,1991,Italy,M,75+ years
1074,1991,Italy,M,55-74 years
846,1991,Italy,M,35-54 years
448,1991,Italy,M,25-34 years
231,1991,Italy,F,75+ years
466,1991,Italy,F,55-74 years
258,1991,Italy,M,15-24 years
336,1991,Italy,F,35-54 years
142,1991,Italy,F,25-34 years
70,1991,Italy,F,15-24 years
8,1991,Italy,M,5-14 years
2,1991,Italy,F,5-14 years
564,1992,Italy,M,75+ years
1062,1992,Italy,M,55-74 years
917,1992,Italy,M,35-54 years
486,1992,Italy,M,25-34 years
209,1992,Italy,F,75+ years
466,1992,Italy,F,55-74 years
298,1992,Italy,M,15-24 years
338,1992,Italy,F,35-54 years
111,1992,Italy,F,25-34 years
77,1992,Italy,F,15-24 years
12,1992,Italy,M,5-14 years
3,1992,Italy,F,5-14 years
604,1993,Italy,M,75+ years
1104,1993,Italy,M,55-74 years
957,1993,Italy,M,35-54 years
527,1993,Italy,M,25-34 years
208,1993,Italy,F,75+ years
471,1993,Italy,F,55-74 years
304,1993,Italy,M,15-24 years
303,1993,Italy,F,35-54 years
130,1993,Italy,F,25-34 years
59,1993,Italy,F,15-24 years
20,1993,Italy,M,5-14 years
10,1993,Italy,F,5-14 years
585,1994,Italy,M,75+ years
1065,1994,Italy,M,55-74 years
543,1994,Italy,M,25-34 years
883,1994,Italy,M,35-54 years
215,1994,Italy,F,75+ years
313,1994,Italy,M,15-24 years
397,1994,Italy,F,55-74 years
291,1994,Italy,F,35-54 years
140,1994,Italy,F,25-34 years
72,1994,Italy,F,15-24 years
22,1994,Italy,M,5-14 years
10,1994,Italy,F,5-14 years
591,1995,Italy,M,75+ years
1078,1995,Italy,M,55-74 years
960,1995,Italy,M,35-54 years
488,1995,Italy,M,25-34 years
199,1995,Italy,F,75+ years
298,1995,Italy,M,15-24 years
445,1995,Italy,F,55-74 years
310,1995,Italy,F,35-54 years
120,1995,Italy,F,25-34 years
64,1995,Italy,F,15-24 years
15,1995,Italy,M,5-14 years
1,1995,Italy,F,5-14 years
536,1996,Italy,M,75+ years
1102,1996,Italy,M,55-74 years
978,1996,Italy,M,35-54 years
520,1996,Italy,M,25-34 years
228,1996,Italy,F,75+ years
310,1996,Italy,M,15-24 years
468,1996,Italy,F,55-74 years
328,1996,Italy,F,35-54 years
136,1996,Italy,F,25-34 years
65,1996,Italy,F,15-24 years
12,1996,Italy,M,5-14 years
6,1996,Italy,F,5-14 years
597,1997,Italy,M,75+ years
1185,1997,Italy,M,55-74 years
910,1997,Italy,M,35-54 years
524,1997,Italy,M,25-34 years
326,1997,Italy,M,15-24 years
207,1997,Italy,F,75+ years
407,1997,Italy,F,55-74 years
302,1997,Italy,F,35-54 years
157,1997,Italy,F,25-34 years
68,1997,Italy,F,15-24 years
6,1997,Italy,F,5-14 years
5,1997,Italy,M,5-14 years
646,1998,Italy,M,75+ years
1085,1998,Italy,M,55-74 years
544,1998,Italy,M,25-34 years
884,1998,Italy,M,35-54 years
276,1998,Italy,M,15-24 years
194,1998,Italy,F,75+ years
380,1998,Italy,F,55-74 years
298,1998,Italy,F,35-54 years
116,1998,Italy,F,25-34 years
67,1998,Italy,F,15-24 years
13,1998,Italy,M,5-14 years
1,1998,Italy,F,5-14 years
539,1999,Italy,M,75+ years
1009,1999,Italy,M,55-74 years
833,1999,Italy,M,35-54 years
481,1999,Italy,M,25-34 years
240,1999,Italy,M,15-24 years
179,1999,Italy,F,75+ years
366,1999,Italy,F,55-74 years
280,1999,Italy,F,35-54 years
123,1999,Italy,F,25-34 years
57,1999,Italy,F,15-24 years
5,1999,Italy,F,5-14 years
3,1999,Italy,M,5-14 years
557,2000,Italy,M,75+ years
893,2000,Italy,M,55-74 years
914,2000,Italy,M,35-54 years
459,2000,Italy,M,25-34 years
217,2000,Italy,F,75+ years
230,2000,Italy,M,15-24 years
339,2000,Italy,F,55-74 years
313,2000,Italy,F,35-54 years
124,2000,Italy,F,25-34 years
51,2000,Italy,F,15-24 years
9,2000,Italy,M,5-14 years
2,2000,Italy,F,5-14 years
560,2001,Italy,M,75+ years
916,2001,Italy,M,55-74 years
890,2001,Italy,M,35-54 years
457,2001,Italy,M,25-34 years
216,2001,Italy,M,15-24 years
178,2001,Italy,F,75+ years
358,2001,Italy,F,55-74 years
300,2001,Italy,F,35-54 years
99,2001,Italy,F,25-34 years
42,2001,Italy,F,15-24 years
11,2001,Italy,M,5-14 years
3,2001,Italy,F,5-14 years
562,2002,Italy,M,75+ years
945,2002,Italy,M,55-74 years
949,2002,Italy,M,35-54 years
475,2002,Italy,M,25-34 years
208,2002,Italy,M,15-24 years
180,2002,Italy,F,75+ years
323,2002,Italy,F,55-74 years
277,2002,Italy,F,35-54 years
92,2002,Italy,F,25-34 years
47,2002,Italy,F,15-24 years
6,2002,Italy,M,5-14 years
5,2002,Italy,F,5-14 years
612,2003,Italy,M,75+ years
904,2003,Italy,M,55-74 years
951,2003,Italy,M,35-54 years
411,2003,Italy,M,25-34 years
200,2003,Italy,F,75+ years
194,2003,Italy,M,15-24 years
340,2003,Italy,F,55-74 years
306,2003,Italy,F,35-54 years
108,2003,Italy,F,25-34 years
39,2003,Italy,F,15-24 years
6,2003,Italy,M,5-14 years
4,2003,Italy,F,5-14 years
594,2004,Italy,M,75+ years
907,2004,Italy,M,55-74 years
937,2004,Italy,M,35-54 years
443,2004,Italy,M,25-34 years
193,2004,Italy,F,75+ years
162,2004,Italy,M,15-24 years
303,2004,Italy,F,55-74 years
285,2004,Italy,F,35-54 years
107,2004,Italy,F,25-34 years
48,2004,Italy,F,15-24 years
4,2004,Italy,F,5-14 years
3,2004,Italy,M,5-14 years
512,2005,Italy,M,75+ years
871,2005,Italy,M,55-74 years
899,2005,Italy,M,35-54 years
343,2005,Italy,M,25-34 years
190,2005,Italy,F,75+ years
170,2005,Italy,M,15-24 years
336,2005,Italy,F,55-74 years
265,2005,Italy,F,35-54 years
105,2005,Italy,F,25-34 years
41,2005,Italy,F,15-24 years
8,2005,Italy,M,5-14 years
2,2005,Italy,F,5-14 years
595,2006,Italy,M,75+ years
868,2006,Italy,M,55-74 years
885,2006,Italy,M,35-54 years
344,2006,Italy,M,25-34 years
145,2006,Italy,M,15-24 years
160,2006,Italy,F,75+ years
274,2006,Italy,F,55-74 years
298,2006,Italy,F,35-54 years
86,2006,Italy,F,25-34 years
41,2006,Italy,F,15-24 years
4,2006,Italy,M,5-14 years
596,2007,Italy,M,75+ years
885,2007,Italy,M,55-74 years
883,2007,Italy,M,35-54 years
354,2007,Italy,M,25-34 years
170,2007,Italy,M,15-24 years
171,2007,Italy,F,75+ years
274,2007,Italy,F,55-74 years
295,2007,Italy,F,35-54 years
84,2007,Italy,F,25-34 years
36,2007,Italy,F,15-24 years
5,2007,Italy,M,5-14 years
4,2007,Italy,F,5-14 years
569,2008,Italy,M,75+ years
917,2008,Italy,M,55-74 years
986,2008,Italy,M,35-54 years
362,2008,Italy,M,25-34 years
161,2008,Italy,M,15-24 years
163,2008,Italy,F,75+ years
313,2008,Italy,F,55-74 years
295,2008,Italy,F,35-54 years
97,2008,Italy,F,25-34 years
36,2008,Italy,F,15-24 years
3,2008,Italy,F,5-14 years
2,2008,Italy,M,5-14 years
615,2009,Italy,M,75+ years
938,2009,Italy,M,55-74 years
1058,2009,Italy,M,35-54 years
332,2009,Italy,M,25-34 years
144,2009,Italy,M,15-24 years
289,2009,Italy,F,55-74 years
149,2009,Italy,F,75+ years
329,2009,Italy,F,35-54 years
70,2009,Italy,F,25-34 years
42,2009,Italy,F,15-24 years
6,2009,Italy,M,5-14 years
2,2009,Italy,F,5-14 years
591,2010,Italy,M,75+ years
944,2010,Italy,M,55-74 years
1098,2010,Italy,M,35-54 years
341,2010,Italy,M,25-34 years
144,2010,Italy,M,15-24 years
161,2010,Italy,F,75+ years
294,2010,Italy,F,55-74 years
292,2010,Italy,F,35-54 years
82,2010,Italy,F,25-34 years
31,2010,Italy,F,15-24 years
10,2010,Italy,M,5-14 years
1,2010,Italy,F,5-14 years
664,2011,Italy,M,75+ years
1000,2011,Italy,M,55-74 years
1137,2011,Italy,M,35-54 years
316,2011,Italy,M,25-34 years
169,2011,Italy,M,15-24 years
162,2011,Italy,F,75+ years
294,2011,Italy,F,55-74 years
303,2011,Italy,F,35-54 years
59,2011,Italy,F,25-34 years
43,2011,Italy,F,15-24 years
4,2011,Italy,M,5-14 years
2,2011,Italy,F,5-14 years
604,2012,Italy,M,75+ years
993,2012,Italy,M,55-74 years
1215,2012,Italy,M,35-54 years
329,2012,Italy,M,25-34 years
179,2012,Italy,M,15-24 years
175,2012,Italy,F,75+ years
317,2012,Italy,F,55-74 years
325,2012,Italy,F,35-54 years
68,2012,Italy,F,25-34 years
44,2012,Italy,F,15-24 years
4,2012,Italy,F,5-14 years
4,2012,Italy,M,5-14 years
625,2013,Italy,M,75+ years
1039,2013,Italy,M,55-74 years
1162,2013,Italy,M,35-54 years
342,2013,Italy,M,25-34 years
147,2013,Italy,M,15-24 years
181,2013,Italy,F,75+ years
333,2013,Italy,F,55-74 years
335,2013,Italy,F,35-54 years
66,2013,Italy,F,25-34 years
49,2013,Italy,F,15-24 years
7,2013,Italy,M,5-14 years
4,2013,Italy,F,5-14 years
670,2014,Italy,M,75+ years
947,2014,Italy,M,55-74 years
1123,2014,Italy,M,35-54 years
300,2014,Italy,M,25-34 years
170,2014,Italy,M,15-24 years
371,2014,Italy,F,35-54 years
158,2014,Italy,F,75+ years
275,2014,Italy,F,55-74 years
75,2014,Italy,F,25-34 years
46,2014,Italy,F,15-24 years
7,2014,Italy,F,5-14 years
5,2014,Italy,M,5-14 years
669,2015,Italy,M,75+ years
934,2015,Italy,M,55-74 years
1063,2015,Italy,M,35-54 years
271,2015,Italy,M,25-34 years
161,2015,Italy,M,15-24 years
303,2015,Italy,F,55-74 years
156,2015,Italy,F,75+ years
320,2015,Italy,F,35-54 years
64,2015,Italy,F,25-34 years
34,2015,Italy,F,15-24 years
7,2015,Italy,M,5-14 years
6,2015,Italy,F,5-14 years
1,1985,Jamaica,M,75+ years
1,1985,Jamaica,F,75+ years
3,1985,Jamaica,M,15-24 years
1,1985,Jamaica,M,25-34 years
1,1985,Jamaica,M,35-54 years
1,1985,Jamaica,F,35-54 years
1,1986,Jamaica,M,35-54 years
4,1987,Jamaica,M,55-74 years
5,1987,Jamaica,M,15-24 years
1,1987,Jamaica,M,25-34 years
1,1987,Jamaica,F,25-34 years
1,1987,Jamaica,F,35-54 years
1,1987,Jamaica,F,5-14 years
1,1988,Jamaica,F,75+ years
2,1988,Jamaica,M,15-24 years
